sk_image_number,image_name,image_date,image_format,image_resolution,image_scale,fly_height,focus_length,shutter_speed,iso_sensitivity,lat_long_upper_right,lat_long_upper_left,lat_long_lower_right,lat_long_lower_left
1,DJI_20230217155320_0001_JPG.rf.c54aa6a0990298188ec6103fed7e6833.jpg,,JPEG,8192x5460,,,,,,,,,
2,DJI_20230217155326_0006_JPG.rf.94a4c5437652377f9818580d67886bf9.jpg,,JPEG,8192x5460,,,,,,,,,
3,DJI_20230217155337_0014_JPG.rf.a5424524f16628d7ed478219afdc0074.jpg,,JPEG,8192x5460,,,,,,,,,
4,DJI_20230217155340_0016_JPG.rf.a9b8993d8929506067f1e4c2f6a88156.jpg,,JPEG,8192x5460,,,,,,,,,
5,DJI_20230217155348_0022_JPG.rf.26f8219ba7ac929417f7649f4d6227ad.jpg,,JPEG,8192x5460,,,,,,,,,
6,DJI_20230217155417_0043_JPG.rf.dc293a64370856afeabc10dad357050b.jpg,,JPEG,8192x5460,,,,,,,,,
7,DJI_20230217155420_0045_JPG.rf.4cbe115035e88affd31f100d4d63c66d.jpg,,JPEG,8192x5460,,,,,,,,,
8,DJI_20230217155431_0053_JPG.rf.5cfc4b0418e965fb7db5ea4127bbb0a8.jpg,,JPEG,8192x5460,,,,,,,,,
9,DJI_20230217155514_0085_JPG.rf.6e2e2ec2986b337f0bf985c00c2a7e49.jpg,,JPEG,8192x5460,,,,,,,,,
10,DJI_20230217155535_0100_JPG.rf.1a1c3c8dccc98a855060334ab96102f7.jpg,,JPEG,8192x5460,,,,,,,,,
11,DJI_20230217155712_0172_JPG.rf.a9d73e3dc30dca8f343ae8e08490922e.jpg,,JPEG,8192x5460,,,,,,,,,
12,DJI_20230217155715_0174_JPG.rf.e11667937dedccd2e56952e70b1845a6.jpg,,JPEG,8192x5460,,,,,,,,,
13,DJI_20230217155717_0175_JPG.rf.29a21fb7b284f8db4a47d5f5b2869988.jpg,,JPEG,8192x5460,,,,,,,,,
14,DJI_20230217155844_0239_JPG.rf.57650ec875f0049fa18904e30da0c17a.jpg,,JPEG,8192x5460,,,,,,,,,
15,DJI_20230217155845_0240_JPG.rf.7f1fcc81b51665b4dadafab795724b56.jpg,,JPEG,8192x5460,,,,,,,,,
16,DJI_20230217155846_0241_JPG.rf.a34ed758f759630eb63a6025831963f5.jpg,,JPEG,8192x5460,,,,,,,,,
17,DJI_20230217155849_0243_JPG.rf.f8c7465622d2caa7abdbdbf2d4ddf56f.jpg,,JPEG,8192x5460,,,,,,,,,
18,DJI_20230217155939_0280_JPG.rf.432e05e2280c716b96950ff33c6efca4.jpg,,JPEG,8192x5460,,,,,,,,,
19,DJI_20230217160005_0299_JPG.rf.b762c3aea2581c6253b28e3400abf37f.jpg,,JPEG,8192x5460,,,,,,,,,
